1	Euch	ihr	P	PPER	2|Pl|_|_	2	obja	731	731
23	von	von	P	APPR	_	22	pp	_	_
24	jeder	jede	A	PIDAT	Fem|_|Sg	25	det	_	_
25	Schuld	Schuld	N	NN	Fem|_|Sg	23	pn	_	_
26	,	,	$	$,	_	0	root	_	_
27	sie	sie	P	PPER	3|Sg|Fem|Nom	31	subj	764	764
28	als	als	K	KOKOM	_	27	kom	_	_
29	Gattin	Gattin	N	NN	Fem|_|Sg	28	cj	_	_
30	umarmen	umarmen	V	VVINF	_	31	aux	_	_
31	werde	werden	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	richtete	richten	V	VVFIN	_|Sg|Past|_	31	kon	_	_
34	die	die	A	ART	Def|_|_|_	35	det	0	0
35	Scuderi	Scuderi	N	NN	_|_|_	33	obja	0	0
36	in	in	P	APPR	Dat	33	pp	_	_
37	eben	eben	A	ADV	_	39	adv	_	_
38	dem	die	A	ART	Def|_|Dat|Sg	39	det	_	_
39	Grad	Grad	N	NN	_|Dat|Sg	36	pn	_	_
40	wieder	wieder	A	ADV	_	33	adv	_	_
41	auf	auf	P	PTKVZ	_	33	avz	_	_
42	,	,	$	$,	_	0	root	_	_
43	als	als	K	KOUS	_	51	konj	_	_
44	sie	sie	P	PPER	3|Sg|Fem|Nom	51	subj	764	764
45	davon	davon	P	PROAV	_	50	pp	_	_
46	bis	bis	P	APPR	Acc	50	pp	_	_
47	tief	tief	A	ADJD	Pos|	46	pn	_	_
48	ins	in	P	APPRART	Acc	50	pp	_	_
49	Herz	Herz	N	NN	_|Acc|_	48	pn	144	144
50	gerührt	rühren	V	VVPP	_	51	aux	_	_
51	wurde	werden	V	VAFIN	3|Sg|Past|Ind	33	neb	_	_
52	.	.	$	$.	_	0	root	_	_

1	Um	Um	K	KOUI	_	6	konj	_	_
2	nun	nun	A	ADV	_	6	adv	_	_
3	endlich	endlich	A	ADJD	Pos|	4	attr	_	_
4	etwas	etwas	P	PIS	_	6	obja	_	_
5	zu	zu	P	PTKZU	_	6	part	_	_
6	tun	tun	V	VVINF	_	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	schrieb	schreiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	0	0
10	Scuderi	Scuderi	N	NN	Fem|Nom|Sg	8	subj	0	0
11	an	an	P	APPR	_	8	pp	_	_
12	la	la	F	FM	_|_|_	11	pn	_	_
13	Regnie	Regnie	F	FM	_|_|_	12	app	_	_
14	einen	eine	A	ART	Indef|Masc|Acc|Sg	16	det	_	_
15	langen	lang	A	ADJA	Pos|Masc|Acc|Sg|_|	16	attr	_	_
16	Brief	Brief	N	NN	Masc|Acc|Sg	8	obja	_	_
17	,	,	$	$,	_	0	root	_	_
18	worin	worin	P	PWAV	_	21	pp	_	_
19	sie	sie	P	PPER	3|Sg|Fem|Nom	21	subj	0	0
20	ihm	er	P	PPER	3|Sg|_|Dat	21	objd	29	29
21	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	0	root	_	_
24	Olivier	Olivier	N	NE	_	0	root	430	430
25	Brußon	Brußon	N	NE	_	24	app	430	430
26	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	0	0
27	auf	auf	P	APPR	Acc	37	pp	_	_
28	die	die	A	ART	Def|_|Acc|_	30	det	768	768
29	glaubwürdigste	glaubwürdig	A	ADJA	Sup|_|Acc|_|_|	30	attr	768	768
30	Weise	Weise	N	NN	_|Acc|_	27	pn	768	768
31	seine	seine	A	PPOSAT	Fem|Nom|Sg	33	det	768	768
32	völlige	völlig	A	ADJA	Pos|Fem|Nom|Sg|_|	33	attr	_	_
33	Unschuld	Unschuld	N	NN	Fem|Nom|Sg	38	subj	_	_
34	an	an	P	APPR	_	37	pp	_	_
35	Cardillacs	Cardillacs	N	NE	_|_|_	34	pn	310	310
36	Tode	Tod	N	NN	Masc|_|_	37	obja	_	_
37	dargetan	dargetan	V	VVPP	_	38	aux	_	_
38	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	und	und	K	KON	_	0	root	_	_
41	daß	daß	K	KOUS	_	66	konj	_	_
42	nur	nur	A	ADV	_	66	adv	_	_
43	der	die	A	ART	Def|Masc|Nom|Sg	45	det	_	_
44	heldenmütige	heldenmütig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	45	attr	_	_
45	Entschluß	Entschluß	N	NN	Masc|Nom|Sg	66	subj	_	_
46	,	,	$	$,	_	0	root	_	_
47	ein	eine	A	ART	Indef|Neut|_|Sg	48	det	_	_
48	Geheimnis	Geheimnis	N	NN	Neut|_|Sg	53	obja	_	_
49	in	in	P	APPR	Acc	53	objp	_	_
50	das	die	A	ART	Def|Neut|Acc|Sg	51	det	898	898
51	Grab	Grab	N	NN	Neut|Acc|Sg	49	pn	898	898
52	zu	zu	P	PTKZU	_	53	part	898	898
53	nehmen	nehmen	V	VVINF	_	45	obji	898	898
54	,	,	$	$,	_	0	root	898	898
55	dessen	die	A	PRELAT	Fem|Nom|Sg	56	det	769	769
56	Enthüllung	Enthüllung	N	NN	Fem|Nom|Sg	63	subj	769	769
57	die	die	A	ART	Def|Fem|_|Sg	58	det	379	379
58	Unschuld	Unschuld	N	NN	Fem|_|Sg	62	obja	379	379
59	und	und	K	KON	_	58	kon	_	_
60	Tugend	Tugend	N	NN	Fem|_|Sg	59	cj	770	770
61	selbst	selbst	A	ADV	_	62	adv	_	_
62	verderben	verderben	V	VVINF	_	63	aux	_	_
63	würde	werden	V	VAFIN	3|Sg|Past|Subj	51	rel	_	_
64	,	,	$	$,	_	0	root	_	_
65	ihn	er	P	PPER	3|Sg|Masc|Acc	66	obja	310	310
66	zurückhalte	zurückhalten	V	VVFIN	_|Sg|Pres|_	40	cj	_	_
67	,	,	$	$,	_	0	root	_	_
68	dem	die	A	ART	Def|Neut|Dat|Sg	69	det	_	_
69	Gericht	Gericht	N	NN	Neut|Dat|Sg	72	objd	_	_
70	ein	eine	A	ART	Indef|Neut|_|Sg	71	det	771	771
71	Geständnis	Geständnis	N	NN	Neut|_|Sg	72	obja	771	771
72	abzulegen	ablegen	V	VVIZU	_	66	obji	_	_
73	,	,	$	$,	_	0	root	_	_
74	das	die	P	PRELS	Neut|_|Sg	0	root	771	771
75	ihn	er	P	PPER	3|Sg|Masc|Acc	99	obja	310	310
76	von	von	P	APPR	Dat	99	pp	_	_
77	dem	die	A	ART	Def|Masc|Dat|Sg	79	det	491	491
78	entsetzlichen	entsetzlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	79	attr	491	491
79	Verdacht	Verdacht	N	NN	Masc|Dat|Sg	76	pn	491	491
80	nicht	nicht	P	PTKNEG	_	99	adv	_	_
81	allein	allein	A	ADV	_	99	adv	_	_
82	,	,	$	$,	_	0	root	_	_
83	daß	daß	K	KOUS	_	86	konj	_	_
84	er	er	P	PPER	3|Sg|Masc|Nom	86	subj	310	310
85	Cardillac	Cardillac	N	NE	_	86	obja	262	262
86	ermordet	ermorden	V	VVFIN	3|Sg|Pres|Ind	100	subjc	_	_
87	,	,	$	$,	_	0	root	_	_
88	sondern	sondern	K	KON	_	86	kon	_	_
89	,	,	$	$,	_	0	root	_	_
90	daß	daß	K	KOUS	_	97	konj	_	_
91	er	er	P	PPER	3|Sg|Masc|Nom	97	subj	310	310
92	auch	auch	A	ADV	_	97	adv	_	_
93	zur	zu	P	APPRART	Dat	97	objp	_	_
94	Bande	Band	N	NN	_|Dat|Sg	93	pn	_	_
95	verruchter	verrucht	A	ADJA	Pos|Masc|Gen|Pl|St|	96	attr	_	_
96	Mörder	Mörder	N	NN	Masc|Gen|Pl	94	gmod	_	_
97	gehöre	gehören	V	VVFIN	3|Sg|Pres|Subj	88	cj	_	_
98	,	,	$	$,	_	0	root	_	_
99	befreien	befreien	V	VVINF	_	100	aux	_	_
100	müsse	müssen	V	VMFIN	_|Sg|Pres|Subj	0	root	_	_
101	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	_|_|Sg	0	root	_	_
2	was	was	P	PRELS	Neut|_|Sg	11	obja	772	772
3	glühender	glühend	A	ADJA	Pos|Masc|Nom|Sg|St|<PPRES	4	attr	776	776
4	Eifer	Eifer	N	NN	Masc|Nom|Sg	11	subj	776	776
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PRELS	Neut|Nom|Sg	9	subj	772	772
7	geistvolle	geistvoll	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	_
8	Beredsamkeit	Beredsamkeit	N	NN	Fem|_|Sg	9	obja	_	_
9	vermag	vermag	V	VMFIN	3|Sg|Pres|Ind	2	rel	_	_
10	,	,	$	$,	_	0	root	_	_
11	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
12	die	die	A	ART	Def|_|Nom|_	13	det	0	0
13	Scuderi	Scuderi	N	NN	_|Nom|_	14	subj	0	0
14	aufgeboten	aufbieten	V	VVPP	_	11	neb	_	_
15	,	,	$	$,	_	0	root	_	_
16	la	la	F	FM	Neut|_|Sg	21	obja	_	_
17	Regnies	Regnies	F	FM	Neut|_|Sg	16	app	_	_
18	hartes	hart	A	ADJA	Pos|Neut|_|Sg|St|	19	attr	_	_
19	Herz	Herz	N	NN	Neut|_|Sg	17	app	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	erweichen	erweichen	V	VVINF	_	14	obji	_	_
22	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	4	pp	_	_
2	wenigen	wenige	A	PIDAT	_|Dat|_	3	det	773	773
3	Stunden	Stunde	N	NN	_|Dat|_	1	pn	773	773
4	antwortete	antworten	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	la	la	N	NE	_|Nom|Sg	4	subj	135	135
6	Regnie	Regnie	N	NE	_|Nom|Sg	5	app	135	135
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	12	adv	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
10	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	135	135
11	herzlich	herzlich	A	ADJD	Pos|	12	adv	_	_
12	freue	freuen	V	VVFIN	3|Sg|Pres|Subj	4	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	wenn	wenn	K	KOUS	_	0	root	_	_
15	Olivier	Olivier	N	NE	_	0	root	430	430
16	Brußon	Brußon	N	NE	_	15	app	430	430
17	sich	sie	P	PRF	3|_|_	0	root	_	_
18	bei	bei	P	APPR	Dat	0	root	_	_
19	seiner	seine	A	PPOSAT	_|_|_	20	det	773	773
20	hohen	hoch	A	ADJA	_|_|_	18	pn	_	_
21	,	,	$	$,	_	0	root	_	_
22	würdigen	würdigen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
23	Gönnerin	Gönnerin	N	NN	Fem|Nom|Sg	26	subj	_	_
24	gänzlich	gänzlich	A	ADJD	Pos|	25	adv	_	_
25	gerechtfertigt	rechtfertigen	V	VVPP	_	26	aux	_	_
26	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	5	subj	_	_
2	Oliviers	Oliviers	N	NE	_|Gen|_	4	gmod	409	409
3	heldenmütigen	heldenmütig	A	ADJA	Pos|Masc|_|Sg|_|	4	attr	_	_
4	Entschluß	Entschluß	N	NN	Masc|_|Sg	5	obja	_	_
5	betreffe	betreffen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	ein	eine	A	ART	Indef|Neut|_|Sg	8	det	774	774
8	Geheimnis	Geheimnis	N	NN	Neut|_|Sg	20	obja	774	774
9	,	,	$	$,	_	0	root	774	774
10	das	die	P	PRELS	Neut|Nom|Sg	15	subj	774	774
11	sich	sie	P	PRF	3|_|_	15	obja	_	_
12	auf	auf	P	APPR	Acc	15	pp	_	_
13	die	die	A	ART	Def|Fem|Acc|Sg	14	det	39	39
14	Tat	Tat	N	NN	Fem|Acc|Sg	12	pn	39	39
15	beziehe	bezeihen	V	VVFIN	3|Sg|_|Subj	8	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	mit	mit	A	ADV	_	20	adv	_	_
18	ins	in	P	APPRART	Acc	20	objp	_	_
19	Grab	Grab	N	NN	Neut|Acc|Sg	18	pn	775	775
20	nehmen	nehmen	V	VVINF	_	22	aux	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	wollen	wollen	V	VMINF	_	5	obji	_	_
23	,	,	$	$,	_	0	root	_	_
24	so	so	A	ADV	_	25	adv	_	_
25	tue	tun	V	VVFIN	3|Sg|Pres|Subj	22	par	_	_
26	es	es	P	PPER	3|Sg|Neut|Nom	25	subj	_	_
27	ihm	er	P	PPER	3|Sg|_|Dat	25	objd	776	776
28	leid	leid	P	PTKVZ	_	25	avz	_	_
29	,	,	$	$,	_	0	root	_	_
30	daß	daß	K	KOUS	_	38	konj	_	_
31	die	die	A	ART	Def|Fem|Nom|Sg	32	det	131	131
32	Chambre	Chambre	N	NN	Fem|Nom|Sg	38	subj	131	131
33	ardente	ardente	N	NE	Fem|Nom|Sg	32	app	131	131
34	dergleichen	dergleichen	A	PIAT	Masc|_|Sg	35	det	_	_
35	Heldenmut	Heldenmut	N	NN	Masc|_|Sg	37	obja	_	_
36	nicht	nicht	P	PTKNEG	_	37	adv	_	_
37	ehren	ehren	V	VVINF	_	38	aux	_	_
38	könne	können	V	VMFIN	3|Sg|Pres|Subj	25	objc	_	_
39	,	,	$	$,	_	0	root	_	_
40	denselben	dieselbe	A	PDAT	_|_|_	0	root	_	_
41	vielmehr	vielmehr	A	ADV	_	47	adv	_	_
42	durch	durch	P	APPR	Acc	47	pp	_	_
43	die	die	A	ART	Def|Neut|Acc|Pl	45	det	_	_
44	kräftigsten	kräftig	A	ADJA	Sup|Neut|Acc|Pl|Wk|	45	attr	_	_
45	Mittel	Mittel	N	NN	Neut|Acc|Pl	42	pn	_	_
46	zu	zu	P	PTKZU	_	47	part	_	_
47	brechen	brechen	V	VVINF	_	0	root	_	_
48	suchen	suchen	V	VVINF	_	49	aux	_	_
49	müsse	müssen	V	VMFIN	_|Sg|Pres|Subj	0	root	_	_
50	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	4	pp	_	_
2	drei	drei	C	CARD	_	3	attr	_	_
3	Tagen	Tag	N	NN	Masc|Dat|Pl	1	pn	_	_
4	hoffe	hoffen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	131	131
6	im	in	P	APPRART	Dat	12	pp	_	_
7	Besitz	Besitz	N	NN	Masc|Dat|Sg	6	pn	_	_
8	des	die	A	ART	Def|Neut|Gen|Sg	10	det	777	777
9	seltsamen	seltsam	A	ADJA	Pos|Neut|Gen|Sg|_|	10	attr	777	777
10	Geheimnisses	Geheimnis	N	NN	Neut|Gen|Sg	7	gmod	777	777
11	zu	zu	P	PTKZU	_	12	part	777	777
12	sein	sein	V	VAINF	_	4	obji	777	777
13	,	,	$	$,	_	0	root	777	777
14	das	die	P	PRELS	Neut|Nom|Sg	22	subj	777	777
15	wahrscheinlich	wahrscheinlich	A	ADJD	Pos|	21	adv	_	_
16	geschehene	geschehen	A	ADJA	Pos|_|_|_|_|	17	attr	_	_
17	Wunder	Wunder	N	NN	_|_|_	21	obja	_	_
18	an	an	P	APPR	Acc	21	objp	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	361	361
20	Tag	Tag	N	NN	Masc|Acc|Sg	18	pn	361	361
21	bringen	bringen	V	VVINF	_	22	aux	_	_
22	werde	werden	V	VAFIN	3|Sg|Pres|Subj	10	rel	_	_
23	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	3	adv	_	_
2	zu	zu	P	PTKA	_	3	adv	_	_
3	gut	gut	A	ADJD	Pos|	4	adv	_	_
4	wußte	wußte	V	VVFIN	_|_|_|_	0	root	_	_
5	die	die	A	ART	Def|_|Nom|_	6	det	0	0
6	Scuderi	Scuderi	N	NN	_|Nom|_	4	subj	0	0
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PRELS	Neut|_|Sg	0	root	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	11	det	_	_
10	fürchterliche	fürchterlich	A	ADJA	Pos|Masc|Nom|Sg|Wk|	11	attr	_	_
11	la	la	F	FM	Masc|Nom|Sg	0	root	_	_
12	Regnie	Regnie	F	FM	Masc|Nom|Sg	11	app	_	_
13	mit	mit	P	APPR	Dat	12	pp	_	_
14	jenen	jene	A	PDAT	Neut|Dat|Pl	15	det	_	_
15	Mitteln	Mittel	N	NN	Neut|Dat|Pl	13	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	die	die	A	ART	Def|_|Nom|Pl	18	det	521	521
18	Brußons	Brußons	N	NN	_|Nom|Pl	21	subj	521	521
19	Heldenmut	Heldenmut	N	NN	Masc|_|Sg	20	obja	_	_
20	brechen	brechen	V	VVINF	_	21	aux	_	_
21	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	meinte	meinen	V	VVFIN	_|Sg|Past|_	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Nun	nun	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	gewiß	gewiß	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	13	konj	_	_
7	die	die	A	ART	Def|Fem|Nom|Sg	8	det	522	522
8	Tortur	Tortur	N	NN	Fem|Nom|Sg	13	subj	522	522
9	über	über	P	APPR	_	12	pp	_	_
10	den	die	A	ART	Def|_|_|_	11	det	778	778
11	Unglücklichen	Unglückliche	N	NN	_|_|_	9	pn	778	778
12	verhängt	verhängen	V	VVPP	_	13	aux	_	_
13	war	sein	V	VAFIN	3|Sg|Past|Ind	2	objc	_	_
14	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	3	det	779	779
3	Todesangst	Todesangst	N	NN	Fem|Dat|Sg	1	pn	779	779
4	fiel	fallen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	0	0
6	Scuderi	Scuderi	N	NN	Fem|Dat|Sg	4	objd	0	0
7	endlich	endlich	A	ADJD	Pos|	4	adv	_	_
8	ein	ein	P	PTKVZ	_	4	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	24	konj	_	_
11	,	,	$	$,	_	0	root	_	_
12	um	um	K	KOUI	_	16	konj	_	_
13	nur	nur	A	ADV	_	16	adv	_	_
14	Aufschub	Aufschub	N	NN	Masc|_|Sg	16	obja	823	823
15	zu	zu	P	PTKZU	_	16	part	_	_
16	erlangen	erlangen	V	VVINF	_	24	neb	_	_
17	,	,	$	$,	_	0	root	_	_
18	der	die	A	ART	Def|Masc|Nom|Sg	19	det	_	_
19	Rat	Rat	N	NN	Masc|Nom|Sg	24	subj	_	_
20	eines	eine	A	ART	Indef|_|Gen|Sg	21	det	_	_
21	Rechtsverständigen	Rechtsverständige	N	NN	_|Gen|Sg	19	gmod	_	_
22	dienlich	dienlich	A	ADJD	Pos|	23	pred	_	_
23	sein	sein	V	VAINF	_	24	aux	_	_
24	könne	können	V	VMFIN	3|Sg|Pres|Subj	4	subjc	_	_
25	.	.	$	$.	_	0	root	_	_

1	Pierre	Pierre	N	NE	_|Nom|Sg	6	subj	899	899
2	Arnaud	Arnaud	N	NE	_|Nom|Sg	1	app	899	899
3	d	d	F	FM	_|Nom|Sg	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	Andilly	Andilly	N	NE	_|Nom|Sg	3	app	_	_
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
7	damals	damals	A	ADV	_	10	adv	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
9	berühmteste	berühmt	A	ADJA	Sup|Masc|Nom|Sg|Wk|	10	attr	_	_
10	Advokat	Advokat	N	NN	Masc|Nom|Sg	6	pred	_	_
11	in	in	P	APPR	_	10	pp	_	_
12	Paris	Paris	N	NE	_|_|Sg	11	pn	73	73
13	.	.	$	$.	_	0	root	_	_

1	Seiner	seine	A	PPOSAT	Fem|_|Sg	3	det	73	73
2	tiefen	tief	A	ADJA	Pos|Fem|_|Sg|Wk|	3	attr	_	_
3	Wissenschaft	Wissenschaft	N	NN	Fem|_|Sg	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	seinem	seine	A	PPOSAT	Masc|Dat|Sg	7	det	73	73
6	umfassenden	umfassend	A	ADJA	Pos|Masc|Dat|Sg|Wk|_	7	attr	_	_
7	Verstande	Verstand	N	NN	Masc|Dat|Sg	8	objd	_	_
8	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
9	seine	seine	A	PPOSAT	Fem|Nom|Sg	10	det	73	73
10	Rechtschaffenheit	Rechtschaffenheit	N	NN	Fem|Nom|Sg	8	subj	_	_
11	,	,	$	$,	_	0	root	_	_
12	seine	seine	A	PPOSAT	Fem|_|Sg	13	det	73	73
13	Tugend	Tugend	N	NN	Fem|_|Sg	0	root	_	_
14	gleich	gleich	P	PTKVZ	_	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

