1	Vivat	Vivat	N	NE	_	0	root	1180	1180
54	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
55	Asche	Asche	N	NE	_|Nom|Sg	54	subj	151	151
56	)	)	$	$(	_	0	root	_	_
57	,	,	$	$,	_	0	root	_	_
58	bereit	bereit	P	PTKVZ	_	0	root	_	_
59	,	,	$	$,	_	0	root	_	_
60	auf	auf	P	APPR	_	67	pp	_	_
61	den	die	A	ART	Def|_|_|_	63	det	_	_
62	ersten	erst	A	ADJA	_|_|_|_|_|	63	attr	_	_
63	Wink	Wink	N	NN	_|_|_	60	pn	_	_
64	von	von	P	APPR	Dat	63	pp	_	_
65	Vater	Vater	N	NN	Masc|Dat|Sg	64	pn	76	76
66	Pfister	Pfister	N	NE	Masc|Dat|Sg	65	app	76	76
67	loszubrennen	losbrennen	V	VVIZU	_	0	root	_	_
68	,	,	$	$,	_	0	root	_	_
69	das	die	P	PDS	Neut|Nom|Sg	70	subj	_	_
70	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	67	par	_	_
71	,	,	$	$,	_	0	root	_	_
72	die	die	A	ART	Def|_|_|Pl	78	det	_	_
73	gelben	gelb	A	ADJA	Pos|_|_|Pl|Wk|	78	attr	_	_
74	,	,	$	$,	_	0	root	_	_
75	grünen	grün	A	ADJA	Pos|_|_|_|_|	73	kon	_	_
76	,	,	$	$,	_	0	root	_	_
77	roten	rot	A	ADJA	Pos|_|_|_|_|	75	kon	_	_
78	Wachslichter	Wachslicht	N	NN	_|_|Pl	102	obja	_	_
79	zwischen	zwischen	P	APPR	Dat	78	pp	_	_
80	den	die	A	ART	Def|Fem|Dat|Pl	82	det	_	_
81	vergoldeten	vergoldet	A	ADJA	Pos|Fem|Dat|Pl|_|	82	attr	_	_
82	Nüssen	Nuss	N	NN	Fem|Dat|Pl	79	pn	_	_
83	und	und	K	KON	_	82	kon	_	_
84	Äpfeln	Apfel	N	NN	_|Dat|_	83	cj	788	788
85	,	,	$	$,	_	0	root	_	_
86	den	die	A	ART	Def|_|_|_	87	det	_	_
87	Zuckerherzen	Zuckerherzen	N	NN	_|Dat|Pl	82	kon	_	_
88	und	und	K	KON	_	87	kon	_	_
89	allem	alle	P	PIS	Neut|Dat|Sg	88	cj	_	_
90	,	,	$	$,	_	0	root	_	_
91	was	was	P	PRELS	Neut|Nom|Sg	100	subj	788	788
92	sonst	sonst	A	ADV	_	99	adv	_	_
93	Christine	Christine	N	NE	Fem|_|Sg	99	obja	73	73
94	aus	aus	P	APPR	Dat	99	pp	_	_
95	der	die	A	ART	Def|Fem|Dat|Sg	96	det	39	39
96	Stadt	Stadt	N	NN	Fem|Dat|Sg	94	pn	39	39
97	zum	zu	P	APPRART	Dat	94	kon	_	_
98	Zweck	Zweck	N	NN	Masc|Dat|Sg	97	pn	_	_
99	mitgebracht	mitbringen	V	VVPP	_	100	aux	_	_
100	hatte	haben	V	VAFIN	3|Sg|Past|Ind	89	rel	_	_
101	,	,	$	$,	_	0	root	_	_
102	anzuzünden	anzünden	V	VVIZU	_	67	obji	_	_
103	.	.	$	$.	_	0	root	_	_

1	Christine	Christine	N	NE	Fem|_|Sg	0	root	73	73
2	selbst	selbst	A	ADV	_	1	adv	73	73
3	freilich	freilich	A	ADV	_	1	adv	73	73
4	scharwerkte	scharwerkt	A	ADJA	Pos|_|_|_|_|	0	root	_	_
5	in	in	P	APPR	_	14	pp	_	_
6	Verbindung	Verbindung	N	NN	Fem|_|Sg	5	pn	_	_
7	mit	mit	P	APPR	Dat	6	pp	_	_
8	den	die	A	ART	Def|Fem|Dat|Pl	10	det	_	_
9	beiden	beide	A	PIDAT	Fem|Dat|Pl	10	attr	_	_
10	Mägden	Magd	N	NN	Fem|Dat|Pl	7	pn	_	_
11	der	die	A	ART	Def|Fem|Gen|Sg	12	det	99	99
12	Wirtschaft	Wirtschaft	N	NN	Fem|Gen|Sg	10	gmod	99	99
13	noch	noch	A	ADV	_	14	adv	_	_
14	aufgeregt	aufgeregt	A	ADJD	Pos|	0	root	_	_
15	in	in	P	APPR	Dat	14	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	789	789
17	Küche	Küche	N	NN	Fem|Dat|Sg	15	pn	789	789
18	und	und	K	KON	_	0	root	_	_
19	hatte	haben	V	VAFIN	_|Sg|Past|Ind	18	cj	_	_
20	mir	ich	P	PPER	1|Sg|_|Dat	40	objd	781	781
21	vorerst	vorerst	A	ADV	_	20	adv	_	_
22	nur	nur	A	ADV	_	40	adv	_	_
23	eine	eine	A	ART	Indef|Fem|_|Sg	34	det	_	_
24	feuchte	feucht	A	ADJA	Pos|Fem|_|Sg|_|	34	attr	_	_
25	und	und	K	KON	_	24	kon	_	_
26	nach	nach	P	APPR	Dat	25	cj	_	_
27	einem	eine	A	ART	Indef|Neut|Dat|Sg	28	det	_	_
28	Gemisch	Gemisch	N	NN	Neut|Dat|Sg	26	pn	_	_
29	von	von	P	APPR	_	28	pp	_	_
30	Zwiebeln	Zwiebel	N	NN	_|_|_	29	pn	_	_
31	und	und	K	KON	_	30	kon	_	_
32	Zitronen	Zitrone	N	NN	Fem|_|Pl	31	cj	_	_
33	duftende	duftend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	34	attr	_	_
34	Hand	Hand	N	NN	Fem|_|Sg	40	obja	_	_
35	zum	zu	P	APPRART	Dat	34	pp	_	_
36	Willkommen	Willkommen	N	NN	Neut|Dat|Sg	35	pn	_	_
37	durch	durch	P	APPR	Acc	36	pp	_	_
38	die	die	A	ART	Def|_|Acc|_	39	det	_	_
39	Türspalte	Türspalt	N	NN	_|Acc|_	37	pn	_	_
40	reichen	reichen	V	VVINF	_	41	aux	_	_
41	können	können	V	VMINF	_	19	aux	_	_
42	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ihnen	sie	P	PPER	3|Pl|_|Dat	2	objd	787	787
4	gottlob	gottlob	A	ADV	_	2	adv	_	_
5	allen	alle	P	PIS	_|_|_	2	adv	_	_
6	lieb	lieb	A	ADJD	Pos|	2	pred	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	12	konj	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	12	subj	790	790
10	endlich	endlich	A	ADJD	Pos|	12	adv	_	_
11	da	da	A	ADV	_	12	adv	_	_
12	waren	sein	V	VAFIN	1|Pl|Past|Ind	2	objc	_	_
13	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	787	787
2	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	sämtlich	sämtlich	A	ADJD	Pos|	2	adv	_	_
4	bei	bei	P	APPR	Dat	2	pp	_	_
5	unserm	unsre	A	PPOSAT	Masc|Dat|Sg	6	det	790	790
6	Eintritt	Eintritt	N	NN	Masc|Dat|Sg	4	pn	_	_
7	in	in	P	APPR	_	6	pp	_	_
8	Bewegung	Bewegung	N	NN	Fem|_|Sg	7	pn	1279	1279
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ran	Ran	N	NE	_	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	_	_
5	Lunte	Lunte	N	NN	Fem|Dat|Sg	3	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	Samse	Samse	N	NE	Fem|Dat|Sg	5	app	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	kommandierte	kommandieren	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	mein	meine	A	PPOSAT	Masc|Nom|Sg	12	det	791	791
12	Vater	Vater	N	NN	Masc|Nom|Sg	10	subj	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	10	kon	_	_
15	über	über	P	APPR	Acc	22	pp	_	_
16	alles	alle	A	PIDAT	Neut|Acc|Sg	17	det	_	_
17	Begrüßungsgetöse	Begrüßungsgetöse	N	NN	Neut|Acc|Sg	15	pn	_	_
18	von	von	P	APPR	Dat	17	pp	_	_
19	Vater	Vater	N	NN	_|Dat|Sg	18	pn	84	84
20	Pfisters	Pfisters	N	NE	_|Dat|Sg	19	app	84	84
21	Weihnachtsgesellschaft	Weihnachtsgesellschaft	N	NN	_|Dat|Sg	19	app	_	_
22	klang	klingen	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
23	eine	eine	A	ART	Indef|Fem|Nom|Sg	27	det	_	_
24	tiefe	tief	A	ADJA	Pos|Fem|Nom|Sg|_|	27	attr	_	_
25	,	,	$	$,	_	0	root	_	_
26	klangvolle	klangvoll	A	ADJA	Pos|_|Nom|_|_|	24	kon	_	_
27	Stimme	Stimme	N	NN	Fem|Nom|Sg	22	subj	_	_
28	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Willkommen	Willkommen	N	NN	Neut|_|Sg	0	root	_	_
3	im	in	P	APPRART	Dat	2	pp	_	_
4	Hafen	Hafen	N	NN	Masc|Dat|Sg	3	pn	851	851
5	,	,	$	$,	_	0	root	_	_
6	meine	meine	A	PPOSAT	Masc|_|Pl	7	det	791	791
7	Herren	Herr	N	NN	Masc|_|Pl	2	app	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	11	obja	_	_
4	immer	immer	A	ADV	_	5	adv	_	_
5	erst	erst	A	ADV	_	7	adv	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	7	det	_	_
7	Weile	Weile	N	NN	Fem|_|Sg	11	zeit	_	_
8	an	an	P	APPR	Acc	11	objp	_	_
9	das	die	A	ART	Def|Neut|Acc|Sg	10	det	792	792
10	Licht	Licht	N	NN	Neut|Acc|Sg	8	pn	792	792
11	gewöhnen	gewöhnen	V	VVINF	_	2	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	0	root	_	_
14	man	man	P	PIS	_|Nom|Sg	0	root	_	_
15	von	von	P	APPR	_	14	pp	_	_
16	der	die	A	ART	Def|_|_|_	17	det	747	747
17	Landstraße	Landstraße	N	NN	_|_|_	15	pn	747	747
18	,	,	$	$,	_	0	root	_	_
19	aus	aus	P	APPR	Dat	26	objp	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	21	det	793	793
21	Nacht	Nacht	N	NN	Fem|Dat|Sg	19	pn	793	793
22	und	und	K	KON	_	21	kon	_	_
23	dem	die	A	ART	Def|Masc|Dat|Sg	25	det	_	_
24	scharfen	scharf	A	ADJA	Pos|Masc|Dat|Sg|Wk|	25	attr	_	_
25	Nordost	Nordost	N	NN	Masc|Dat|Sg	22	cj	_	_
26	kommt	kommen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	794	794
2	hielten	halten	V	VVFIN	1|Pl|Past|_	0	root	_	_
3	beide	beide	P	PIS	_|_|Pl	2	obja	_	_
4	noch	noch	A	ADV	_	2	adv	_	_
5	die	die	A	ART	Def|Fem|Nom|Pl	6	det	_	_
6	Hände	Hand	N	NN	Fem|Nom|Pl	2	pred	_	_
7	über	über	P	APPR	Acc	6	pp	_	_
8	die	die	A	ART	Def|Neut|Acc|Pl	9	det	88	88
9	Augen	Auge	N	NN	Neut|Acc|Pl	7	pn	88	88
10	;	;	$	$.	_	0	root	_	_
11	aber	aber	K	KON	_	0	root	_	_
12	jene	jene	A	PDAT	Fem|_|Sg	13	det	_	_
13	Stimme	Stimme	N	NN	Fem|_|Sg	14	obja	_	_
14	kannten	kennen	V	VVFIN	1|Pl|Past|Ind	11	cj	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	14	subj	794	794
16	seit	seit	P	APPR	Dat	14	pp	_	_
17	lange	lange	A	ADJD	_	16	pn	_	_
18	bei	bei	P	APPR	Dat	14	pp	_	_
19	Nacht	Nacht	N	NN	Fem|Dat|Sg	18	pn	599	599
20	und	und	K	KON	_	18	kon	_	_
21	bei	bei	P	APPR	Dat	20	cj	_	_
22	Tage	Tag	N	NN	Masc|Dat|Sg	21	pn	466	466
23	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Je	je	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	auch	auch	A	ADV	_	6	adv	_	_
5	der	die	A	ART	Def|Masc|_|_	6	det	_	_
6	Sänger	Sänger	N	NN	Masc|_|_	0	root	_	_
7	!	!	$	$.	_	0	root	_	_
8	.....	.....	F	FM	_	0	root	_	_

1	Vater	Vater	N	NN	Masc|_|Sg	5	vok	76	76
2	Pfister	Pfister	N	NE	Masc|_|Sg	1	app	76	76
3	,	,	$	$,	_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	5	subj	88	88
5	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
6	wie	wie	K	KOKOM	_	5	kom	_	_
7	immer	immer	A	ADV	_	6	cj	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	_	_
9	Meistermann	Meistermann	N	NN	Masc|Nom|Sg	5	pred	_	_
10	!	!	$	$.	_	0	root	_	_
11	...	...	$	$.	_	0	root	_	_

1	Lippoldes	Lippoldes	N	NE	_	0	root	795	795
2	!	!	$	$.	_	0	root	_	_

