1	Sie	sie	P	PPER	3|_|_|Nom	2	subj	31	31
15	dort	dort	A	ADV	_	19	adv	_	_
16	nicht	nicht	P	PTKNEG	_	19	adv	_	_
17	seine	seine	A	PPOSAT	Fem|_|Sg	18	det	63	63
18	Richtigkeit	Richtigkeit	N	NN	Fem|_|Sg	19	obja	_	_
19	habe	haben	V	VAFIN	3|Sg|Pres|Subj	9	objc	_	_
20	;	;	$	$.	_	0	root	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	64	64
22	Wasserzuber	Wasserzuber	N	NN	Masc|Nom|Sg	23	subj	64	64
23	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
24	nicht	nicht	P	PTKNEG	_	23	adv	_	_
25	mehr	mehr	A	ADV	_	24	adv	_	_
26	,	,	$	$,	_	0	root	_	_
27	wo	wo	P	PWAV	_	0	root	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	62	62
29	ihn	er	P	PPER	3|Sg|Masc|Acc	30	obja	64	64
30	hingestellt	hinstellen	V	VVPP	_	0	root	_	_
31	,	,	$	$,	_	0	root	_	_
32	und	und	K	KON	_	0	root	_	_
33	auch	auch	A	ADV	_	35	adv	65	65
34	die	die	A	ART	Def|Neut|Nom|Pl	35	det	65	65
35	Schafe	Schaf	N	NN	Neut|Nom|Pl	36	subj	65	65
36	waren	sein	V	VAFIN	3|Pl|Past|Ind	32	cj	_	_
37	nicht	nicht	P	PTKNEG	_	39	adv	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	sehen	sehen	V	VVINF	_	36	aux	_	_
40	.	.	$	$.	_	0	root	_	_

1	Um	Um	K	KOUI	_	4	konj	_	_
2	sie	sie	P	PPER	3|_|_|_	4	obja	65	65
3	zu	zu	P	PTKZU	_	4	part	_	_
4	suchen	suchen	V	VVINF	_	6	neb	_	_
5	,	,	$	$,	_	0	root	_	_
6	ging	gehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	62	62
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	76	76
9	Rain	Rain	N	NN	Masc|Acc|Sg	6	obja	76	76
10	hinab	hinab	A	ADV	_	6	adv	_	_
11	bis	bis	P	APPR	Acc	6	pp	_	_
12	an	an	P	APPR	Acc	11	pp	_	_
13	den	die	A	ART	Def|Masc|Acc|Sg	14	det	97	97
14	Riesenhügel	Riesenhügel	N	NN	Masc|Acc|Sg	12	pn	97	97
15	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	7	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	62	62
3	auf	auf	P	APPR	Acc	7	objp	_	_
4	die	die	A	ART	Def|Fem|Acc|Sg	6	det	127	127
5	andre	andre	A	ADJA	_|Fem|Acc|Sg|_	6	attr	127	127
6	Seite	Seite	N	NN	Fem|Acc|Sg	3	pn	127	127
7	kam	kommen	V	VVFIN	1|Sg|Past|Ind	10	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	da	da	A	ADV	_	10	adv	_	_
10	sah	sehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	62	62
12	sie	sie	P	PPER	3|Pl|_|Nom	14	subj	65	65
13	alle	alle	P	PIS	_|Nom|_	12	app	_	_
14	liegen	liegen	V	VVFIN	3|Pl|Pres|_	10	s	_	_
15	,	,	$	$,	_	0	root	_	_
16	keuchend	keuchen	A	ADJD	_|<PPRES	24	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	die	die	A	ART	Def|Masc|_|Pl	19	det	_	_
19	Hälse	Hals	N	NN	Masc|_|Pl	24	obja	_	_
20	lang	lang	A	ADJD	Pos|	24	adv	_	_
21	auf	auf	P	APPR	Acc	24	pp	_	_
22	die	die	A	ART	Def|Fem|Acc|Sg	23	det	141	141
23	Erde	Erde	N	NN	Fem|Acc|Sg	21	pn	141	141
24	gestreckt	strecken	V	VVPP	_	10	obji	_	_
25	;	;	$	$.	_	0	root	_	_
26	die	die	A	ART	Def|Fem|Nom|Sg	28	det	_	_
27	arme	arm	A	ADJA	Pos|Fem|Nom|Sg|_|	28	attr	_	_
28	Kreatur	Kreatur	N	NN	Fem|Nom|Sg	30	subj	_	_
29	hier	hier	A	ADV	_	28	adv	_	_
30	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
31	schon	schon	A	ADV	_	32	adv	_	_
32	krepiert	krepieren	V	VVPP	_	30	aux	_	_
33	.	.	$	$.	_	0	root	_	_

1	Daneben	Daneben	P	PROAV	_	2	pp	_	_
2	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	111	111
4	Zuber	Zuber	N	NN	Masc|Nom|Sg	2	subj	111	111
5	umgestürzt	umstürzen	V	VVPP	_	2	neb	_	_
6	und	und	K	KON	_	5	kon	_	_
7	schon	schon	A	ADV	_	9	adv	_	_
8	gänzlich	gänzlich	A	ADJD	Pos|	9	adv	_	_
9	ausgetrocknet	austrocknen	V	VVPP	_	6	cj	_	_
10	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Neut|Nom|Pl	2	det	_	_
2	Tiere	Tier	N	NN	Neut|Nom|Pl	3	subj	_	_
3	konnten	können	V	VMFIN	3|Pl|Past|Ind	0	root	_	_
4	das	die	P	PDS	Neut|_|Sg	6	obja	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	getan	tun	V	VVPP	_	7	aux	_	_
7	haben	haben	V	VAINF	_	3	aux	_	_
8	;	;	$	$.	_	0	root	_	_
9	hier	hier	A	ADV	_	10	adv	_	_
10	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
11	eine	eine	A	ART	Indef|Fem|Nom|Sg	13	det	_	_
12	böswillige	böswillig	A	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	_	_
13	Hand	Hand	N	NN	Fem|Nom|Sg	10	subj	_	_
14	im	in	P	APPRART	Dat	16	pp	_	_
15	Spiele	Spiel	N	NN	Neut|Dat|Sg	14	pn	_	_
16	sein	sein	V	VAINF	_	10	aux	_	_
17	.	.	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Kind	Kind	N	NN	Neut|_|Sg	7	vok	_	_
3	,	,	$	$,	_	0	root	_	_
4	Kind	Kind	N	NN	Neut|_|Sg	2	app	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	unterbrach	unterbrechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	ihn	er	P	PPER	3|Sg|Masc|Acc	7	obja	3	3
9	die	die	A	ART	Def|Fem|Nom|Sg	10	det	59	59
10	Mutter	Mutter	N	NN	Fem|Nom|Sg	7	subj	59	59
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	wer	wer	P	PWS	_|Nom|Sg	14	subj	_	_
14	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
15	einer	eine	A	ART	Indef|Fem|_|Sg	17	det	_	_
16	armen	arm	A	ADJA	Pos|Neut|Dat|_|_|	17	attr	_	_
17	Witwe	Witwe	N	NN	Neut|Dat|_	19	objd	_	_
18	Leides	Leid	N	NN	Neut|Dat|_	17	app	_	_
19	zufügen	zufügen	V	VVINF	_	14	aux	_	_
20	!	!	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hört	hören	V	VVIMP	Pl	0	root	_	_
3	nur	nur	A	ADV	_	2	adv	_	_
4	zu	zu	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	Mutter	Mutter	N	NN	Fem|_|Sg	0	root	83	83
7	,	,	$	$,	_	0	root	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	noch	noch	A	ADV	_	9	adv	_	_
11	weiter	weiter	P	PTKVZ	_	9	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	69	69
2	stieg	steigen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	auf	auf	P	APPR	Acc	2	pp	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	70	70
5	Hügel	Hügel	N	NN	Masc|Acc|Sg	3	pn	70	70
6	und	und	K	KON	_	2	kon	_	_
7	sah	sehen	V	VVFIN	_|Sg|Past|Ind	6	cj	_	_
8	nach	nach	P	APPR	Dat	7	pp	_	_
9	allen	alle	A	PIDAT	Fem|Dat|Pl	10	det	_	_
10	Seiten	Seite	N	NN	Fem|Dat|Pl	8	pn	_	_
11	über	über	P	APPR	Acc	7	pp	_	_
12	die	die	A	ART	Def|_|Acc|_	13	det	_	_
13	Ebene	Ebene	N	NN	_|Acc|_	11	pn	_	_
14	hin	hin	P	PTKVZ	_	7	avz	_	_
15	;	;	$	$.	_	0	root	_	_
16	aber	aber	K	KON	_	0	root	_	_
17	kein	keine	A	PIAT	_|Nom|Sg	18	det	_	_
18	Mensch	Mensch	N	NN	_|Nom|Sg	19	subj	_	_
19	war	sein	V	VAFIN	3|Sg|Past|Ind	16	cj	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	sehen	sehen	V	VVINF	_	19	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	die	die	A	ART	Def|Fem|Nom|Sg	25	det	_	_
24	sengende	sengend	A	ADJA	Pos|Fem|Nom|Sg|_|<PPRES	25	attr	_	_
25	Glut	Glut	N	NN	Fem|Nom|Sg	26	subj	_	_
26	lag	liegen	V	VVFIN	3|Sg|Past|Ind	19	kon	_	_
27	wie	wie	K	KOKOM	_	26	kom	_	_
28	alle	alle	A	PIDAT	Masc|_|Pl	29	det	_	_
29	Tage	Tag	N	NN	Masc|_|Pl	27	cj	_	_
30	lautlos	lautlos	A	ADJD	Pos|	26	adv	_	_
31	über	über	P	APPR	_	26	objp	_	_
32	den	die	A	ART	Def|_|_|_	33	det	66	66
33	Feldern	Feld	N	NN	_|_|_	31	pn	66	66
34	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	2	adv	_	_
2	neben	neben	P	APPR	_	19	pp	_	_
3	mit	mit	A	ADV	_	4	adv	67	67
4	auf	auf	P	APPR	Dat	8	pp	67	67
5	einem	eine	P	PIS	_|Dat|Sg	4	pn	67	67
6	der	die	A	ART	Def|Masc|Gen|Pl	8	det	67	67
7	großen	groß	A	ADJA	Pos|Masc|Gen|Pl|Wk|	8	attr	67	67
8	Steine	Stein	N	NN	Masc|Gen|Pl	2	pn	67	67
9	,	,	$	$,	_	0	root	67	67
10	zwischen	zwischen	P	APPR	Dat	17	pp	67	67
11	denen	die	P	PRELS	Masc|Dat|Pl	10	pn	67	67
12	das	die	A	ART	Def|Neut|Nom|Sg	13	det	_	_
13	Zwergenloch	Zwergenloch	N	NN	Neut|Nom|Sg	17	subj	_	_
14	in	in	P	APPR	Dat	17	pp	_	_
15	den	die	A	ART	Def|Masc|Dat|Pl	16	det	_	_
16	Hügeln	Hügel	N	NN	Masc|Dat|Pl	14	pn	_	_
17	hinabgeht	hinabgehen	V	VVFIN	3|Sg|Pres|Ind	8	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
20	ein	eine	A	ART	Indef|Masc|Nom|Sg	22	det	68	68
21	dicker	dick	A	ADJA	Pos|Masc|Nom|Sg|St|	22	attr	68	68
22	Molch	Molch	N	NN	Masc|Nom|Sg	19	subj	68	68
23	und	und	K	KON	_	19	kon	_	_
24	sonnte	sonnen	V	VVFIN	_|Sg|Past|_	23	cj	_	_
25	seinen	seine	A	PPOSAT	Masc|_|Sg	27	det	68	68
26	häßlichen	häßlich	A	ADJA	Pos|Masc|_|Sg|_|	27	attr	_	_
27	Leib	Leib	N	NN	Masc|_|Sg	24	obja	_	_
28	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	13	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	69	69
3	noch	noch	A	ADV	_	13	adv	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	halb	halb	A	ADJD	Pos|	6	adv	_	_
6	ratlos	ratlos	A	ADJD	Pos|	13	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	halb	halb	A	ADJD	Pos|	9	adv	_	_
9	ingrimmig	ingrimmig	A	ADJD	Pos|	6	kon	_	_
10	um	um	P	APPR	Acc	13	pp	_	_
11	mich	ich	P	PRF	1|Sg|Acc	10	pn	_	_
12	her	her	A	APZR	_	10	part	_	_
13	starrte	starren	V	VVFIN	1|Sg|Past|_	15	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	hörte	hören	V	VVFIN	1|Sg|Past|_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	69	69
17	auf	auf	P	APPR	_	16	pp	_	_
18	einmal	einmal	A	ADV	_	17	adv	_	_
19	hinter	hinter	P	APPR	Dat	15	pp	_	_
20	mir	ich	P	PRF	1|Sg|Dat	19	pn	_	_
21	von	von	P	APPR	_	15	pp	_	_
22	der	die	A	ART	Def|Fem|_|Sg	24	det	75	75
23	andern	andern	A	ADJA	_|Fem|_|Sg|_	24	attr	75	75
24	Seite	Seite	N	NN	Fem|_|Sg	21	pn	75	75
25	des	die	A	ART	Def|Masc|Gen|Sg	26	det	70	70
26	Hügels	Hügel	N	NN	Masc|Gen|Sg	24	gmod	70	70
27	her	her	A	APZR	_	21	part	_	_
28	ein	eine	A	ART	Indef|Neut|_|Sg	29	det	_	_
29	Gemurmel	Gemurmel	N	NN	Neut|_|Sg	15	obja	_	_
30	,	,	$	$,	_	0	root	_	_
31	wie	wie	K	KOKOM	_	0	root	_	_
32	wenn	wenn	K	KOUS	_	0	root	_	_
33	einer	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
34	eifrig	eifrig	A	ADJD	Pos|	38	adv	_	_
35	mit	mit	P	APPR	Dat	38	pp	_	_
36	sich	sie	P	PRF	3|_|Dat	35	pn	_	_
37	selber	selber	A	ADV	_	38	adv	_	_
38	redet	reden	V	VVFIN	_|_|Pres|_	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	und	und	K	KON	_	38	kon	_	_
41	als	als	K	KOUS	_	44	konj	_	_
42	ich	ich	P	PPER	1|Sg|_|Nom	44	subj	69	69
43	mich	ich	P	PRF	1|Sg|Acc	44	obja	_	_
44	umwende	umwenden	V	VVFIN	1|Sg|Pres|_	46	neb	_	_
45	,	,	$	$,	_	0	root	_	_
46	sehe	sehen	V	VVFIN	1|Sg|Pres|_	40	cj	_	_
47	ich	ich	P	PPER	1|Sg|_|Nom	46	subj	69	69
48	ein	eine	A	ART	Indef|Neut|_|Sg	50	det	_	_
49	knorpsiges	knorpsiges	A	ADJA	_|Neut|_|Sg|_	50	attr	_	_
50	Männlein	Männlein	N	NN	Neut|_|Sg	46	obja	_	_
51	im	in	P	APPRART	Dat	46	pp	_	_
52	feuerroten	feuerrot	A	ADJA	Pos|Masc|Dat|Sg|Wk|	53	attr	_	_
53	Rock	Rock	N	NN	Masc|Dat|Sg	51	pn	_	_
54	und	und	K	KON	_	53	kon	_	_
55	roter	rot	A	ADJA	Pos|Fem|Dat|Sg|St|	56	attr	_	_
56	Zipfelmütze	Zipfelmütze	N	NN	Fem|Dat|Sg	54	cj	_	_
57	unten	unten	A	ADV	_	56	adv	_	_
58	zwischen	zwischen	P	APPR	Dat	56	pp	_	_
59	dem	die	A	ART	Def|_|Dat|Sg	60	det	_	_
60	Heidekraut	Heidekraut	N	NN	_|Dat|Sg	58	pn	_	_
61	auf	auf	P	PTKVZ	_	46	avz	_	_
62	und	und	K	KON	_	0	root	_	_
63	ab	ab	P	PTKVZ	_	0	root	_	_
64	stapfen	stapfen	V	VVINF	_	0	root	_	_
65	.	.	$	$.	_	0	root	_	_

